gene_id	tissue	expression
ENSG00000162438.11	Pancreas	1783
ENSG00000162438.11	Pancreas	4015
ENSG00000162438.11	Pancreas	3346
ENSG00000162438.11	Pancreas	2258
ENSG00000162438.11	Pancreas	2628
ENSG00000162438.11	Pancreas	2708
ENSG00000162438.11	Pancreas	2370
ENSG00000162438.11	Pancreas	4398
ENSG00000162438.11	Pancreas	3012
ENSG00000162438.11	Pancreas	2255
ENSG00000162438.11	Pancreas	6278
ENSG00000162438.11	Pancreas	4734
ENSG00000162438.11	Pancreas	4222
ENSG00000162438.11	Pancreas	2587
ENSG00000162438.11	Pancreas	3086
ENSG00000162438.11	Pancreas	3328
ENSG00000162438.11	Pancreas	2865
ENSG00000162438.11	Pancreas	4518
ENSG00000162438.11	Pancreas	7806
ENSG00000162438.11	Pancreas	4633
ENSG00000162438.11	Pancreas	4040
ENSG00000162438.11	Pancreas	2388
ENSG00000162438.11	Pancreas	2715
ENSG00000162438.11	Pancreas	2020
ENSG00000162438.11	Pancreas	4715
ENSG00000162438.11	Pancreas	1543
ENSG00000162438.11	Pancreas	1543
ENSG00000162438.11	Pancreas	1569
ENSG00000162438.11	Pancreas	823.5
ENSG00000162438.11	Pancreas	5505
ENSG00000162438.11	Pancreas	3277
ENSG00000162438.11	Pancreas	3116
ENSG00000162438.11	Pancreas	1158
ENSG00000162438.11	Pancreas	1300
ENSG00000162438.11	Pancreas	2291
ENSG00000162438.11	Pancreas	2667
ENSG00000162438.11	Pancreas	7164
ENSG00000162438.11	Pancreas	1953
ENSG00000162438.11	Pancreas	3971
ENSG00000162438.11	Pancreas	774.9
ENSG00000162438.11	Pancreas	4057
ENSG00000162438.11	Pancreas	5140
ENSG00000162438.11	Pancreas	4475
ENSG00000162438.11	Pancreas	4937
ENSG00000162438.11	Pancreas	5994
ENSG00000162438.11	Pancreas	8029
ENSG00000162438.11	Pancreas	4499
ENSG00000162438.11	Pancreas	3098
ENSG00000162438.11	Pancreas	1718
ENSG00000162438.11	Pancreas	2181
ENSG00000162438.11	Pancreas	2590
ENSG00000162438.11	Pancreas	336.4
ENSG00000162438.11	Pancreas	3358
ENSG00000162438.11	Pancreas	1882
ENSG00000162438.11	Pancreas	4198
ENSG00000162438.11	Pancreas	2527
ENSG00000162438.11	Pancreas	3393
ENSG00000162438.11	Pancreas	5259
ENSG00000162438.11	Pancreas	3454
ENSG00000162438.11	Pancreas	6388
ENSG00000162438.11	Pancreas	1546
ENSG00000162438.11	Pancreas	5462
ENSG00000162438.11	Pancreas	1751
ENSG00000162438.11	Pancreas	1682
ENSG00000162438.11	Pancreas	3374
ENSG00000162438.11	Pancreas	3767
ENSG00000162438.11	Pancreas	5295
ENSG00000162438.11	Pancreas	2896
ENSG00000162438.11	Pancreas	3069
ENSG00000162438.11	Pancreas	2595
ENSG00000162438.11	Pancreas	6414
ENSG00000162438.11	Pancreas	3239
ENSG00000162438.11	Pancreas	2691
ENSG00000162438.11	Pancreas	5022
ENSG00000162438.11	Pancreas	5310
ENSG00000162438.11	Pancreas	3415
ENSG00000162438.11	Pancreas	2773
ENSG00000162438.11	Pancreas	4159
ENSG00000162438.11	Pancreas	3143
ENSG00000162438.11	Pancreas	5291
ENSG00000162438.11	Pancreas	3637
ENSG00000162438.11	Pancreas	929.2
ENSG00000162438.11	Pancreas	6370
ENSG00000162438.11	Pancreas	5965
ENSG00000162438.11	Pancreas	8414
ENSG00000162438.11	Pancreas	2086
ENSG00000162438.11	Pancreas	3558
ENSG00000162438.11	Pancreas	4139
ENSG00000162438.11	Pancreas	2198
ENSG00000162438.11	Pancreas	5726
ENSG00000162438.11	Pancreas	4995
ENSG00000162438.11	Pancreas	5333
ENSG00000162438.11	Pancreas	1060
ENSG00000162438.11	Pancreas	2790
ENSG00000162438.11	Pancreas	3216
ENSG00000162438.11	Pancreas	1352
ENSG00000162438.11	Pancreas	6690
ENSG00000162438.11	Pancreas	3967
ENSG00000162438.11	Pancreas	2695
ENSG00000162438.11	Pancreas	4512
ENSG00000162438.11	Pancreas	2101
ENSG00000162438.11	Pancreas	5629
ENSG00000162438.11	Pancreas	5527
ENSG00000162438.11	Pancreas	8989
ENSG00000162438.11	Pancreas	2939
ENSG00000162438.11	Pancreas	768.1
ENSG00000162438.11	Pancreas	8026
ENSG00000162438.11	Pancreas	5619
ENSG00000162438.11	Pancreas	1909
ENSG00000162438.11	Pancreas	477.4
ENSG00000162438.11	Pancreas	5729
ENSG00000162438.11	Pancreas	5170
ENSG00000162438.11	Pancreas	1492
ENSG00000162438.11	Pancreas	3310
ENSG00000162438.11	Pancreas	3566
ENSG00000162438.11	Pancreas	3462
ENSG00000162438.11	Pancreas	2973
ENSG00000162438.11	Pancreas	2921
ENSG00000162438.11	Pancreas	4492
ENSG00000162438.11	Pancreas	1534
ENSG00000162438.11	Pancreas	4530
ENSG00000162438.11	Pancreas	6081
ENSG00000162438.11	Pancreas	4568
ENSG00000162438.11	Pancreas	4641
ENSG00000162438.11	Pancreas	3059
ENSG00000162438.11	Pancreas	2428
ENSG00000162438.11	Pancreas	2374
ENSG00000162438.11	Pancreas	8699
ENSG00000162438.11	Pancreas	3961
ENSG00000162438.11	Pancreas	2297
ENSG00000162438.11	Pancreas	6984
ENSG00000162438.11	Pancreas	4693
ENSG00000162438.11	Pancreas	3014
ENSG00000162438.11	Pancreas	2391
ENSG00000162438.11	Pancreas	5553
ENSG00000162438.11	Pancreas	2740
ENSG00000162438.11	Pancreas	6515
ENSG00000162438.11	Pancreas	4819
ENSG00000162438.11	Pancreas	2749
ENSG00000162438.11	Pancreas	3421
ENSG00000162438.11	Pancreas	4400
ENSG00000162438.11	Pancreas	1937
ENSG00000162438.11	Pancreas	2735
ENSG00000162438.11	Pancreas	2298
ENSG00000162438.11	Pancreas	2338
ENSG00000162438.11	Pancreas	2678
ENSG00000162438.11	Pancreas	2364
ENSG00000162438.11	Pancreas	5150
ENSG00000162438.11	Pancreas	2636
ENSG00000162438.11	Pancreas	2469
ENSG00000162438.11	Pancreas	2755
ENSG00000162438.11	Pancreas	2418
ENSG00000162438.11	Pancreas	1637
ENSG00000162438.11	Pancreas	4080
ENSG00000162438.11	Pancreas	7350
ENSG00000162438.11	Pancreas	8318
ENSG00000162438.11	Pancreas	2791
ENSG00000162438.11	Pancreas	1682
ENSG00000162438.11	Pancreas	1327
ENSG00000162438.11	Pancreas	3371
ENSG00000162438.11	Pancreas	1888
ENSG00000162438.11	Pancreas	4265
ENSG00000162438.11	Pancreas	747.1
ENSG00000162438.11	Pancreas	2295
ENSG00000162438.11	Pancreas	7042
ENSG00000162438.11	Pancreas	5979
ENSG00000162438.11	Pancreas	2894
ENSG00000162438.11	Pancreas	3321
ENSG00000162438.11	Pancreas	1926
ENSG00000162438.11	Pancreas	4541
ENSG00000162438.11	Pancreas	5906
ENSG00000162438.11	Pancreas	2086
ENSG00000162438.11	Pancreas	3833
ENSG00000162438.11	Pancreas	3300
ENSG00000162438.11	Pancreas	5726
ENSG00000162438.11	Pancreas	3337
ENSG00000162438.11	Pancreas	3335
ENSG00000162438.11	Pancreas	2246
ENSG00000162438.11	Pancreas	4164
ENSG00000162438.11	Pancreas	3261
ENSG00000162438.11	Pancreas	3599
ENSG00000162438.11	Pancreas	7934
ENSG00000162438.11	Pancreas	2249
ENSG00000162438.11	Pancreas	2364
ENSG00000162438.11	Pancreas	719.4
ENSG00000162438.11	Pancreas	2639
ENSG00000162438.11	Pancreas	4943
ENSG00000162438.11	Pancreas	4296
ENSG00000162438.11	Pancreas	2648
ENSG00000162438.11	Pancreas	3916
ENSG00000162438.11	Pancreas	2047
ENSG00000162438.11	Pancreas	4171
ENSG00000162438.11	Pancreas	1942
ENSG00000162438.11	Pancreas	3296
ENSG00000162438.11	Pancreas	1839
ENSG00000162438.11	Pancreas	2509
