




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.12173881 Released 2024-06-17
Analyzed List:	upload_1 (Drosophila melanogaster)
Reference List:	Drosophila melanogaster (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Drosophila melanogaster - REFLIST (13821)	upload_1 (101)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
protein localization to lipid droplet (GO:1990044)	1	1	.01	+	 > 100	7.31E-03	8.81E-01
cellular response to pulsatile fluid shear stress (GO:0097703)	1	1	.01	+	 > 100	7.31E-03	8.67E-01
response to pulsatile fluid shear stress (GO:0097701)	1	1	.01	+	 > 100	7.31E-03	8.53E-01
L-serine catabolic process (GO:0006565)	1	1	.01	+	 > 100	7.31E-03	8.40E-01
acetylcholine transport (GO:0015870)	1	1	.01	+	 > 100	7.31E-03	8.27E-01
cellular response to fluid shear stress (GO:0071498)	1	1	.01	+	 > 100	7.31E-03	8.14E-01
isoleucine biosynthetic process (GO:0009097)	1	1	.01	+	 > 100	7.31E-03	8.02E-01
carotenoid metabolic process (GO:0016116)	1	1	.01	+	 > 100	7.31E-03	7.91E-01
tetraterpenoid metabolic process (GO:0016108)	1	1	.01	+	 > 100	7.31E-03	7.79E-01
positive regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway (GO:1902237)	1	1	.01	+	 > 100	7.31E-03	7.68E-01
response to fluid shear stress (GO:0034405)	1	1	.01	+	 > 100	7.31E-03	7.57E-01
negative regulation of synaptic transmission, cholinergic (GO:0032223)	1	1	.01	+	 > 100	7.31E-03	7.47E-01
acetate ester transport (GO:1901374)	1	1	.01	+	 > 100	7.31E-03	7.36E-01
lauric acid metabolic process (GO:0048252)	1	1	.01	+	 > 100	7.31E-03	7.26E-01
D-amino acid transport (GO:0042940)	1	1	.01	+	 > 100	7.31E-03	7.17E-01
sphingomyelin catabolic process (GO:0006685)	4	2	.03	+	68.42	3.14E-04	2.89E-01
cellular response to dexamethasone stimulus (GO:0071549)	2	1	.01	+	68.42	1.46E-02	1.00E00
response to dexamethasone (GO:0071548)	2	1	.01	+	68.42	1.46E-02	1.00E00
branched-chain amino acid biosynthetic process (GO:0009082)	2	1	.01	+	68.42	1.46E-02	1.00E00
sensory perception of hot stimulus (GO:0062036)	2	1	.01	+	68.42	1.46E-02	1.00E00
cellular response to glucocorticoid stimulus (GO:0071385)	2	1	.01	+	68.42	1.46E-02	1.00E00
cellular response to corticosteroid stimulus (GO:0071384)	2	1	.01	+	68.42	1.46E-02	1.00E00
response to corticosteroid (GO:0031960)	2	1	.01	+	68.42	1.46E-02	1.00E00
glycerol biosynthetic process (GO:0006114)	2	1	.01	+	68.42	1.46E-02	1.00E00
regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway (GO:1902235)	2	1	.01	+	68.42	1.46E-02	1.00E00
response to glucocorticoid (GO:0051384)	2	1	.01	+	68.42	1.46E-02	1.00E00
detection of hot stimulus involved in thermoception (GO:0120168)	2	1	.01	+	68.42	1.46E-02	1.00E00
glycerol biosynthetic process from pyruvate (GO:0046327)	2	1	.01	+	68.42	1.46E-02	1.00E00
propionate catabolic process (GO:0019543)	2	1	.01	+	68.42	1.46E-02	1.00E00
propionate metabolic process (GO:0019541)	2	1	.01	+	68.42	1.46E-02	1.00E00
sphingomyelin metabolic process (GO:0006684)	6	2	.04	+	45.61	7.78E-04	4.77E-01
isoleucine metabolic process (GO:0006549)	3	1	.02	+	45.61	2.18E-02	1.00E00
positive regulation of intrinsic apoptotic signaling pathway (GO:2001244)	3	1	.02	+	45.61	2.18E-02	1.00E00
positive regulation of sequestering of triglyceride (GO:0010890)	3	1	.02	+	45.61	2.18E-02	1.00E00
neuronal signal transduction (GO:0023041)	3	1	.02	+	45.61	2.18E-02	1.00E00
embryonic foregut morphogenesis (GO:0048617)	3	1	.02	+	45.61	2.18E-02	1.00E00
negative regulation of juvenile hormone biosynthetic process (GO:0045968)	3	1	.02	+	45.61	2.18E-02	1.00E00
positive regulation of response to endoplasmic reticulum stress (GO:1905898)	3	1	.02	+	45.61	2.18E-02	1.00E00
intracellular cholesterol transport (GO:0032367)	7	2	.05	+	39.10	1.08E-03	4.69E-01
zinc ion import across plasma membrane (GO:0071578)	4	1	.03	+	34.21	2.89E-02	1.00E00
threonine catabolic process (GO:0006567)	4	1	.03	+	34.21	2.89E-02	1.00E00
threonine metabolic process (GO:0006566)	4	1	.03	+	34.21	2.89E-02	1.00E00
negative regulation of hormone biosynthetic process (GO:0032353)	4	1	.03	+	34.21	2.89E-02	1.00E00
short-chain fatty acid metabolic process (GO:0046459)	4	1	.03	+	34.21	2.89E-02	1.00E00
negative regulation of juvenile hormone metabolic process (GO:0045928)	4	1	.03	+	34.21	2.89E-02	1.00E00
short-chain fatty acid catabolic process (GO:0019626)	4	1	.03	+	34.21	2.89E-02	1.00E00
negative regulation of isoprenoid metabolic process (GO:0045827)	4	1	.03	+	34.21	2.89E-02	1.00E00
regulation of juvenile hormone biosynthetic process (GO:0007557)	4	1	.03	+	34.21	2.89E-02	1.00E00
alditol biosynthetic process (GO:0019401)	4	1	.03	+	34.21	2.89E-02	1.00E00
triglyceride mobilization (GO:0006642)	5	1	.04	+	27.37	3.60E-02	1.00E00
L-serine metabolic process (GO:0006563)	5	1	.04	+	27.37	3.60E-02	1.00E00
negative phototaxis (GO:0046957)	5	1	.04	+	27.37	3.60E-02	1.00E00
positive regulation of receptor internalization (GO:0002092)	5	1	.04	+	27.37	3.60E-02	1.00E00
trehalose biosynthetic process (GO:0005992)	5	1	.04	+	27.37	3.60E-02	1.00E00
serine family amino acid catabolic process (GO:0009071)	5	1	.04	+	27.37	3.60E-02	1.00E00
positive regulation of triglyceride catabolic process (GO:0010898)	5	1	.04	+	27.37	3.60E-02	1.00E00
medium-chain fatty acid metabolic process (GO:0051791)	5	1	.04	+	27.37	3.60E-02	1.00E00
negative energy taxis (GO:0052129)	5	1	.04	+	27.37	3.60E-02	1.00E00
cholesterol transport (GO:0030301)	10	2	.07	+	27.37	2.29E-03	6.74E-01
intracellular sterol transport (GO:0032366)	10	2	.07	+	27.37	2.29E-03	6.48E-01
cholesterol metabolic process (GO:0008203)	5	1	.04	+	27.37	3.60E-02	1.00E00
mannose metabolic process (GO:0006013)	10	2	.07	+	27.37	2.29E-03	6.24E-01
regulation of isoprenoid metabolic process (GO:0019747)	5	1	.04	+	27.37	3.60E-02	1.00E00
positive regulation of lipid catabolic process (GO:0050996)	5	1	.04	+	27.37	3.60E-02	1.00E00
detection of chemical stimulus involved in sensory perception of pain (GO:0050968)	5	1	.04	+	27.37	3.60E-02	1.00E00
temperature compensation of the circadian clock (GO:0010378)	5	1	.04	+	27.37	3.60E-02	1.00E00
regulation of juvenile hormone metabolic process (GO:0007556)	5	1	.04	+	27.37	3.60E-02	1.00E00
glutathione catabolic process (GO:0006751)	6	1	.04	+	22.81	4.31E-02	1.00E00
intracellular glucose homeostasis (GO:0001678)	12	2	.09	+	22.81	3.33E-03	6.80E-01
regulation of receptor internalization (GO:0002090)	6	1	.04	+	22.81	4.31E-02	1.00E00
detection of chemical stimulus involved in sensory perception of bitter taste (GO:0001580)	6	1	.04	+	22.81	4.31E-02	1.00E00
regulation of sequestering of triglyceride (GO:0010889)	6	1	.04	+	22.81	4.31E-02	1.00E00
ceramide biosynthetic process (GO:0046513)	12	2	.09	+	22.81	3.33E-03	6.61E-01
negative regulation of hormone metabolic process (GO:0032351)	6	1	.04	+	22.81	4.31E-02	1.00E00
glycerol metabolic process (GO:0006071)	6	1	.04	+	22.81	4.31E-02	1.00E00
disaccharide biosynthetic process (GO:0046351)	6	1	.04	+	22.81	4.31E-02	1.00E00
vitamin transport (GO:0051180)	12	2	.09	+	22.81	3.33E-03	6.44E-01
triglyceride biosynthetic process (GO:0019432)	12	2	.09	+	22.81	3.33E-03	6.28E-01
negative regulation of lipid biosynthetic process (GO:0051055)	6	1	.04	+	22.81	4.31E-02	1.00E00
intracellular lipid transport (GO:0032365)	13	2	.10	+	21.05	3.91E-03	7.20E-01
acylglycerol biosynthetic process (GO:0046463)	13	2	.10	+	21.05	3.91E-03	7.02E-01
neutral lipid biosynthetic process (GO:0046460)	13	2	.10	+	21.05	3.91E-03	6.85E-01
toxin metabolic process (GO:0009404)	7	1	.05	+	19.55	5.01E-02	1.00E00
phospholipid catabolic process (GO:0009395)	14	2	.10	+	19.55	4.54E-03	7.43E-01
positive regulation of apoptotic signaling pathway (GO:2001235)	7	1	.05	+	19.55	5.01E-02	1.00E00
aspartate family amino acid catabolic process (GO:0009068)	7	1	.05	+	19.55	5.01E-02	1.00E00
pupation (GO:0035074)	7	1	.05	+	19.55	5.01E-02	1.00E00
oxaloacetate metabolic process (GO:0006107)	7	1	.05	+	19.55	5.01E-02	1.00E00
positive regulation of triglyceride metabolic process (GO:0090208)	7	1	.05	+	19.55	5.01E-02	1.00E00
sphingolipid catabolic process (GO:0030149)	14	2	.10	+	19.55	4.54E-03	7.27E-01
detection of temperature stimulus involved in thermoception (GO:0050960)	7	1	.05	+	19.55	5.01E-02	1.00E00
thermoception (GO:0050955)	7	1	.05	+	19.55	5.01E-02	1.00E00
membrane lipid catabolic process (GO:0046466)	14	2	.10	+	19.55	4.54E-03	7.11E-01
positive regulation of calcium-mediated signaling (GO:0050850)	7	1	.05	+	19.55	5.01E-02	1.00E00
regulation of response to endoplasmic reticulum stress (GO:1905897)	7	1	.05	+	19.55	5.01E-02	1.00E00
insecticide metabolic process (GO:0017143)	7	1	.05	+	19.55	5.01E-02	1.00E00
sterol transport (GO:0015918)	15	2	.11	+	18.25	5.22E-03	8.00E-01
rhodopsin biosynthetic process (GO:0016063)	15	2	.11	+	18.25	5.22E-03	7.83E-01
lipid droplet organization (GO:0034389)	15	2	.11	+	18.25	5.22E-03	7.68E-01
galactose catabolic process via UDP-galactose (GO:0033499)	8	1	.06	+	17.11	5.70E-02	1.00E00
regulation of intrinsic apoptotic signaling pathway (GO:2001242)	8	1	.06	+	17.11	5.70E-02	1.00E00
trehalose metabolic process (GO:0005991)	8	1	.06	+	17.11	5.70E-02	1.00E00
cellular response to steroid hormone stimulus (GO:0071383)	8	1	.06	+	17.11	5.70E-02	1.00E00
cellular response to glucose stimulus (GO:0071333)	8	1	.06	+	17.11	5.70E-02	1.00E00
sensory perception of bitter taste (GO:0050913)	8	1	.06	+	17.11	5.70E-02	1.00E00
response to steroid hormone (GO:0048545)	8	1	.06	+	17.11	5.70E-02	1.00E00
galactose catabolic process (GO:0019388)	8	1	.06	+	17.11	5.70E-02	1.00E00
intermembrane lipid transfer (GO:0120009)	17	2	.12	+	16.10	6.69E-03	8.79E-01
rhodopsin metabolic process (GO:0046154)	17	2	.12	+	16.10	6.69E-03	8.64E-01
triglyceride metabolic process (GO:0006641)	27	3	.20	+	15.20	9.75E-04	4.48E-01
thermotaxis (GO:0043052)	18	2	.13	+	15.20	7.50E-03	7.16E-01
organic hydroxy compound transport (GO:0015850)	18	2	.13	+	15.20	7.50E-03	7.07E-01
disaccharide metabolic process (GO:0005984)	9	1	.07	+	15.20	6.39E-02	1.00E00
regulation of triglyceride catabolic process (GO:0010896)	9	1	.07	+	15.20	6.39E-02	1.00E00
cellular response to hexose stimulus (GO:0071331)	9	1	.07	+	15.20	6.39E-02	1.00E00
galactose metabolic process (GO:0006012)	9	1	.07	+	15.20	6.39E-02	1.00E00
foregut morphogenesis (GO:0007440)	9	1	.07	+	15.20	6.39E-02	1.00E00
response to caffeine (GO:0031000)	10	1	.07	+	13.68	7.07E-02	1.00E00
cellular response to monosaccharide stimulus (GO:0071326)	10	1	.07	+	13.68	7.07E-02	1.00E00
detection of temperature stimulus involved in sensory perception of pain (GO:0050965)	10	1	.07	+	13.68	7.07E-02	1.00E00
growth of a germarium-derived egg chamber (GO:0007295)	11	1	.08	+	12.44	7.75E-02	1.00E00
endomitotic cell cycle (GO:0007113)	11	1	.08	+	12.44	7.75E-02	1.00E00
ceramide metabolic process (GO:0006672)	22	2	.16	+	12.44	1.11E-02	9.61E-01
neutral amino acid transport (GO:0015804)	11	1	.08	+	12.44	7.75E-02	1.00E00
regulation of hormone biosynthetic process (GO:0046885)	11	1	.08	+	12.44	7.75E-02	1.00E00
regulation of olfactory learning (GO:0090328)	11	1	.08	+	12.44	7.75E-02	1.00E00
regulation of calcium-mediated signaling (GO:0050848)	11	1	.08	+	12.44	7.75E-02	1.00E00
alditol metabolic process (GO:0019400)	11	1	.08	+	12.44	7.75E-02	1.00E00
